VEHICLE_YEAR_MANUF,VEHICLE_BODY_STYLE,VEHICLE_MAKE,CrashCount,NO_OF_WHEELS,NO_OF_CYLINDERS,SEATING_CAPACITY,TARE_WEIGHT,TOTAL_NO_OCCUPANTS,cluster
2010.0,BUS,VOLVO,60,0.19999999999999996,0.11111111111111108,0.6727513227513227,0.17633333333333334,0.037074829931972794,2
2010.0,BUS,SCANIA,40,0.20499999999999996,0.08999999999999998,0.6662698412698413,0.18891666666666668,0.040306122448979596,2
2012.0,BUS,VOLVO,33,0.19999999999999996,0.11111111111111108,0.6873496873496874,0.17664646464646463,0.03463203463203464,2
2013.0,BUS,VOLVO,30,0.19999999999999996,0.11111111111111108,0.7216931216931217,0.18122222222222223,0.03537414965986395,2
2006.0,BUS,MERC B,28,0.20714285714285707,0.1095238095238095,0.7154195011337867,0.18729166666666666,0.06341107871720118,2
2014.0,BUS,VOLVO,28,0.20714285714285707,0.11111111111111108,0.723922902494331,0.18058333333333335,0.04591836734693878,2
2011.0,BUS,VOLVO,28,0.19999999999999996,0.11111111111111108,0.7074829931972788,0.1813511904761905,0.055393586005830914,2
2012.0,BUS,SCANIA,27,0.20740740740740737,0.08971193415637858,0.7213403880070546,0.19139506172839507,0.058201058201058205,2
2018.0,BUS,SCANIA,26,0.20769230769230762,0.08974358974358973,0.6904761904761905,0.1943653846153846,0.07927786499215071,2
2019.0,BUS,SCANIA,26,0.19999999999999996,0.08888888888888888,0.684981684981685,0.19292307692307692,0.02590266875981162,2
